"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"242",308,"Assassin's Creed IV: Black Flag","PS3",2013,"Action","Ubisoft",1.33,1.71,0.13,0.73,3.89
"243",310,"MotorStorm","PS3",2006,"Racing","Sony Computer Entertainment",1.53,1.61,0.06,0.67,3.88
"244",311,"The Elder Scrolls V: Skyrim","PC",2011,"Role-Playing","Bethesda Softworks",1.15,2.09,0,0.64,3.88
"245",314,"Sports Champions","PS3",2010,"Sports","Sony Computer Entertainment",2.12,1.14,0.1,0.51,3.87
"246",318,"Namco Museum Vol.1","PS",1995,"Misc","Sony Computer Entertainment",2.12,1.44,0.22,0.06,3.84
"247",321,"Big Brain Academy: Wii Degree","Wii",2007,"Misc","Nintendo",1.06,1.93,0.41,0.43,3.82
"248",322,"Nintendogs + cats","3DS",2011,"Simulation","Nintendo",1.44,1.37,0.73,0.27,3.81
"249",323,"Batman: Arkham Knight","PS4",2015,"Action","Warner Bros. Interactive Entertainment",1.49,1.58,0.1,0.61,3.79
"250",324,"Mario & Sonic at the London 2012 Olympic Games","Wii",2011,"Sports","Sega",1.14,1.91,0.27,0.46,3.78
"251",325,"LEGO Indiana Jones: The Original Adventures","X360",2008,"Action","Activision",2.4,1.03,0,0.36,3.78
"252",326,"Resident Evil Director's Cut","PS",1996,"Action","Virgin Interactive",1.82,1.24,0.47,0.25,3.77
"253",327,"Ratchet & Clank: Size Matters","PSP",2007,"Platform","Sony Computer Entertainment",1.4,1.4,0.1,0.87,3.77
"254",328,"Just Dance 2014","Wii",2013,"Misc","Ubisoft",1.98,1.47,0,0.32,3.76
"255",329,"The Sims: Unleashed","PC",2002,"Simulation","Electronic Arts",2.03,1.56,0,0.17,3.76
"256",331,"Harry Potter and the Sorcerer's Stone","PS",2001,"Action","Electronic Arts",1.37,2,0.14,0.22,3.73
"257",334,"Spyro: Year of the Dragon","PS",2000,"Platform","Sony Computer Entertainment",1.93,1.58,0,0.19,3.71
"258",337,"Battlefield 4","PS3",2013,"Shooter","Electronic Arts",1.3,1.51,0.27,0.61,3.69
"259",338,"MySims","DS",2007,"Simulation","Electronic Arts",1.59,1.61,0.08,0.41,3.69
"260",340,"Tony Hawk's Pro Skater 4","PS2",2002,"Sports","Activision",2.13,1.18,0.01,0.35,3.67
"261",341,"Midnight Club 3: DUB Edition","PSP",2005,"Racing","Take-Two Interactive",1.65,1.22,0,0.79,3.66
"262",342,"Banjo-Kazooie","N64",1998,"Platform","Nintendo",1.87,1.13,0.55,0.1,3.65
"263",346,"Jak and Daxter: The Precursor Legacy","PS2",2001,"Platform","Sony Computer Entertainment",2.08,1.09,0.15,0.33,3.64
"264",350,"Call of Duty: Ghosts","PS4",2013,"Shooter","Activision",1.78,1.42,0.05,0.38,3.63
"265",352,"Tom Clancy's The Division","PS4",2016,"Shooter","Ubisoft",1.28,1.61,0.15,0.57,3.61
"266",353,"Star Wars: Battlefront","PS2",2004,"Shooter","LucasArts",1.93,1.22,0.03,0.44,3.61
"267",354,"Doom II: Hell on Earth","PC",1994,"Shooter","Virgin Interactive",2.05,1.4,0,0.16,3.61
"268",355,"The Simpsons: Road Rage","PS2",2001,"Racing","Electronic Arts",2.02,1.17,0,0.42,3.61
"269",356,"Cooking Mama 2: Dinner With Friends","DS",2007,"Simulation","505 Games",1.61,1.5,0.1,0.39,3.61
"270",358,"Star Wars: Battlefront II","PS2",2005,"Shooter","LucasArts",2.18,1.02,0.03,0.37,3.59
"271",359,"WWF SmackDown!","PS",2000,"Fighting","THQ",2.01,1.35,0.06,0.16,3.58
"272",360,"Croc: Legend of the Gobbos","PS",1997,"Platform","Fox Interactive",1.57,1.79,0,0.2,3.56
"273",361,"Grand Theft Auto: Liberty City Stories","PS2",2006,"Action","Take-Two Interactive",1.56,1.4,0.07,0.5,3.54
"274",362,"The Getaway","PS2",2002,"Action","Sony Computer Entertainment",1.23,1.77,0.05,0.49,3.54
"275",363,"Tomb Raider III: Adventures of Lara Croft","PS",1997,"Action","Eidos Interactive",1.66,1.58,0.12,0.18,3.54
"276",364,"James Bond 007: Agent Under Fire","PS2",2001,"Shooter","Electronic Arts",1.9,1.13,0.1,0.41,3.53
"277",365,"LEGO Star Wars: The Video Game","PS2",2005,"Action","Eidos Interactive",1.98,1.14,0.01,0.41,3.53
"278",366,"Battlefield 4","X360",2013,"Shooter","Electronic Arts",2.14,1.08,0.02,0.29,3.53
"279",368,"Rugrats in Paris: The Movie","PS",2000,"Action","THQ",1.96,1.33,0,0.23,3.52
"280",369,"Spyro 2: Ripto's Rage!","PS",1999,"Platform","Sony Computer Entertainment",2.14,1.21,0.01,0.17,3.52
"281",371,"Mario & Sonic at the Olympic Winter Games","DS",2009,"Sports","Sega",1.22,1.66,0.27,0.38,3.52
"282",379,"Star Wars Battlefront (2015)","XOne",2015,"Shooter","Electronic Arts",1.94,1.22,0.02,0.31,3.49
"283",380,"Battlefield: Bad Company 2","X360",2010,"Shooter","Electronic Arts",2.09,1.02,0.04,0.32,3.48
"284",381,"Guitar Hero: On Tour","DS",2008,"Misc","Activision",2.11,1.01,0.01,0.35,3.48
"285",386,"Tekken 4","PS2",2002,"Fighting","Namco Bandai Games",1.55,1.27,0.33,0.29,3.44
"286",387,"Battlefield 4","PS4",2013,"Shooter","Electronic Arts",1.34,1.54,0.17,0.38,3.43
"287",388,"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.82,1.07,0.06,0.47,3.42
"288",389,"Grand Theft Auto 2","PS",1998,"Action","Take-Two Interactive",1.13,2.07,0,0.22,3.42
"289",391,"Spider-Man 2","PS2",2004,"Action","Activision",1.75,1.2,0.02,0.43,3.41
"290",394,"Crash Bash","PS",2000,"Misc","Sony Computer Entertainment",1.56,1.47,0.19,0.17,3.39
"291",395,"LEGO Batman: The Videogame","X360",2008,"Action","Warner Bros. Interactive Entertainment",2.03,1.03,0,0.32,3.38
"292",396,"Metal Gear Solid V: The Phantom Pain","PS4",2015,"Action","Konami Digital Entertainment",1.08,1.35,0.48,0.47,3.38
"293",401,"Rugrats: Search For Reptar","PS",1998,"Adventure","THQ",1.63,1.53,0,0.18,3.34
"294",402,"Assassin's Creed IV: Black Flag","X360",2013,"Action","Ubisoft",1.9,1.14,0.01,0.29,3.34
"295",404,"James Bond 007: Nightfire","PS2",2002,"Shooter","Electronic Arts",1.45,1.29,0.12,0.46,3.33
"296",405,"Ratchet & Clank","PS2",2002,"Platform","Sony Computer Entertainment",1.44,1.01,0.57,0.3,3.33
"297",406,"Mario Party 9","Wii",2012,"Misc","Nintendo",1.15,1.17,0.76,0.24,3.32
"298",407,"Star Wars Episode III: Revenge of the Sith","PS2",2005,"Action","LucasArts",1.47,1.39,0.03,0.43,3.32
"299",408,"Max Payne","PS2",2001,"Shooter","Take-Two Interactive",1.99,1.05,0.05,0.22,3.31
"300",409,"The Lord of the Rings: The Return of the King","PS2",2003,"Action","Electronic Arts",1.5,1.28,0.05,0.46,3.28
"301",412,"True Crime: Streets of LA","PS2",2003,"Action","Activision",1.89,1.05,0.02,0.31,3.27
"302",413,"Wii Music","Wii",2008,"Misc","Nintendo",1.36,1.13,0.46,0.32,3.27
"303",418,"L.A. Noire","PS3",2011,"Adventure","Take-Two Interactive",1.27,1.33,0.12,0.51,3.23
"304",421,"007: Tomorrow Never Dies","PS",1999,"Shooter","Electronic Arts",1.72,1.33,0,0.16,3.21
"305",424,"WWF SmackDown! 2: Know Your Role","PS",2000,"Fighting","THQ",1.76,1.21,0.07,0.16,3.2
"306",426,"God of War: Chains of Olympus","PSP",2008,"Action","Sony Computer Entertainment",1.48,1.01,0.04,0.66,3.19
"307",429,"Enter the Matrix","PS2",2003,"Action","Atari",1.78,1.12,0.09,0.19,3.18
"308",431,"Fallout: New Vegas","PS3",2010,"Role-Playing","Bethesda Softworks",1.52,1.08,0.1,0.47,3.17
"309",437,"LEGO Batman: The Videogame","DS",2008,"Action","Warner Bros. Interactive Entertainment",1.79,1.06,0,0.29,3.15
"310",438,"Sonic Rush","DS",2005,"Platform","Sega",1.22,1.57,0.06,0.29,3.15
"311",442,"Spider-Man","PS",2000,"Action","Activision",1.7,1.25,0.02,0.16,3.13
"312",448,"Heavy Rain","PS3",2010,"Adventure","Sony Computer Entertainment",1.29,1.27,0.06,0.5,3.12
"313",457,"The Sims: Vacation","PC",2002,"Simulation","Electronic Arts",1.72,1.21,0,0.14,3.07
"314",460,"Far Cry 3","X360",2012,"Shooter","Ubisoft",1.38,1.35,0.02,0.28,3.04
"315",463,"Rayman","PS",1995,"Platform","Ubisoft",1.54,1.33,0,0.16,3.03
"316",464,"Killzone 2","PS3",2009,"Shooter","Sony Computer Entertainment",1.4,1.07,0.08,0.47,3.02
"317",465,"Tom Clancy's Splinter Cell","XB",2002,"Action","Ubisoft",1.85,1.04,0,0.13,3.02
"318",467,"WWE SmackDown! Shut Your Mouth","PS2",2002,"Sports","THQ",1.45,1.13,0.07,0.38,3.02
"319",472,"Middle-Earth: Shadow of Mordor","PS4",2014,"Action","Warner Bros. Interactive Entertainment",1.01,1.41,0.05,0.53,2.99
"320",474,"The Sims: Livin Large","PC",2000,"Misc","Electronic Arts",1.67,1.18,0,0.13,2.99
"321",478,"Battlefield: Bad Company 2","PS3",2010,"Shooter","Electronic Arts",1.33,1.12,0.08,0.45,2.97
"322",480,"Star Wars: The Old Republic","PC",2011,"Role-Playing","Electronic Arts",1.58,1.01,0,0.38,2.97
"323",481,"Sonic Heroes","PS2",2003,"Platform","Sega",1.04,1.37,0.06,0.49,2.96
"324",483,"Hitman 2: Silent Assassin","PS2",2002,"Action","Eidos Interactive",1.36,1.15,0.04,0.41,2.96
"325",487,"WWE SmackDown! vs. RAW 2006","PS2",2005,"Fighting","THQ",1.45,1.11,0.04,0.33,2.94
"326",492,"Cooking Mama: Cook Off","Wii",2007,"Simulation","505 Games",1.43,1.13,0.05,0.3,2.91
"327",496,"Sonic Mega Collection Plus","PS2",2004,"Misc","Sega",1.54,1.14,0,0.22,2.9
"328",501,"Call of Duty: Finest Hour","PS2",2004,"Shooter","Activision",1.51,1.12,0.01,0.24,2.89
"329",502,"Zumba Fitness 2","Wii",2011,"Sports","Majesco Entertainment",1.54,1.07,0,0.28,2.88
"330",504,"Imagine: Babyz","DS",2007,"Simulation","Ubisoft",1.3,1.27,0,0.31,2.88
"331",512,"Command & Conquer: Red Alert","PC",1996,"Strategy","Virgin Interactive",1.37,1.34,0,0.14,2.85
"332",513,"Skylanders: Spyro's Adventure","Wii",2011,"Action","Activision",1.4,1.14,0,0.31,2.85
"333",518,"Medal of Honor","PS3",2010,"Shooter","Electronic Arts",1.28,1.05,0.07,0.43,2.83
"334",519,"WWE SmackDown! vs. Raw","PS2",2002,"Fighting","THQ",1.32,1.08,0.04,0.39,2.83
"335",521,"Finding Nemo","GBA",2003,"Action","THQ",1.59,1.05,0.04,0.14,2.82
"336",523,"Need for Speed: Hot Pursuit","PS3",2010,"Racing","Electronic Arts",1.05,1.25,0.03,0.48,2.81
"337",524,"Imagine: Fashion Designer","DS",2007,"Simulation","Ubisoft",1.32,1.19,0,0.3,2.81
"338",525,"WWE SmackDown! Here Comes the Pain","PS2",2003,"Fighting","THQ",1.32,1.06,0.04,0.38,2.8
"339",531,"WWF SmackDown! Just Bring It","PS2",2001,"Fighting","THQ",1.19,1.15,0.04,0.41,2.79
"340",542,"The Sims","PS2",2003,"Simulation","Electronic Arts",1.41,1.12,0,0.24,2.77
"341",543,"Sonic and the Secret Rings","Wii",2007,"Platform","Sega",1.24,1.2,0.04,0.3,2.77
"342",544,"Saints Row: The Third","X360",2011,"Action","THQ",1.25,1.15,0.07,0.3,2.77
"343",547,"Assassin's Creed IV: Black Flag","PS4",2013,"Action","Ubisoft",1.07,1.31,0.06,0.31,2.74
"344",561,"Burnout 3: Takedown","PS2",2004,"Racing","Electronic Arts",1.23,1.11,0,0.34,2.68
"345",568,"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.44,1.09,0,0.14,2.67
"346",571,"Tom Clancy's Splinter Cell","PS2",2003,"Action","Ubisoft",1.15,1.11,0,0.4,2.65
"347",582,"Mario Strikers Charged","Wii",2007,"Sports","Nintendo",1.07,1.06,0.24,0.25,2.62
"348",595,"Ghostbusters: The Video Game (DS Version)","X360",2009,"Action","Take-Two Interactive",1.04,1.24,0.03,0.27,2.58
"349",609,"Crazy Taxi","PS2",2001,"Racing","Acclaim Entertainment",1.13,1.12,0.06,0.22,2.52
"350",623,"Tomb Raider: The Last Revelation","PS",1998,"Action","Eidos Interactive",1.15,1.14,0.06,0.13,2.48
"351",635,"The Sims: Bustin' Out","PS2",2003,"Simulation","Electronic Arts",1.07,1.19,0,0.18,2.43
"352",673,"LEGO Harry Potter: Years 1-4","DS",2010,"Action","Warner Bros. Interactive Entertainment",1.07,1.05,0,0.23,2.35
